Artist Name,Content Name,Feature Name,Event Start Timestamp,Genre
Radiohead,Airbag (Remastered),for_you / days_albums / album_detail / album_detail,2019-04-14 05:13:07.574000+00:00,Alternative
Foals,White Onions,search / artist_detail / artist_see_all,2019-04-14 05:25:45.647000+00:00,Alternative
Mac DeMarco,All of Our Yesterdays,library/songs,2019-04-14 06:33:05.775000+00:00,Alternative
Chumped,Anywhere but Here,library/songs,2019-04-14 06:33:16.329000+00:00,Alternative
The Doors,Love Me Two Times,search / artist_detail / artist_see_all,2019-04-14 06:43:48.400000+00:00,Rock
Sonic Youth,Teen Age Riot,search / artist_detail / artist_see_all,2019-04-14 06:45:13.856000+00:00,Alternative
Fuzz,Earthen Gate,search / album_detail,2019-04-14 06:46:58.251000+00:00,Alternative
Sonic Death,Sosaaad,search / artist_detail,2019-04-14 07:37:03.257000+00:00,Rock
The Orwells,In My Bed,library / albums / album_detail,2019-04-14 11:51:40.576000+00:00,Rock
Cage the Elephant,Trouble,for_you / days_albums / album_detail,2019-04-14 11:52:51.925000+00:00,Alternative
Увула,Ноль объект,library / album_detail,2019-04-14 12:01:04.710000+00:00,Pop
Summer Salt,Time Away from Home,library / songs,2019-04-15 11:28:16.902000+00:00,Alternative
Scott Walker,It's Raining Today,for_you / days_playlist / playlist_detail,2019-04-15 11:37:22.057000+00:00,Pop
The Byrds,The Airport Song,for_you / days_playlist / playlist_detail,2019-04-15 11:42:13.372000+00:00,Singer/Songwriter
Big Thief,UFOF,for_you / days_playlist / playlist_detail,2019-04-15 11:45:05.347000+00:00,Alternative
Blitzen Trapper,Lady on the Water,for_you / days_playlist / playlist_detail,2019-04-15 11:48:13.691000+00:00,Alternative
The National,Born to Beg,for_you / days_playlist / playlist_detail,2019-04-15 11:50:39.784000+00:00,Alternative
Kevin Morby,No Halo,for_you / days_playlist / playlist_detail,2019-04-15 11:55:02.697000+00:00,Alternative
Tom Waits,(Looking For) The Heart of Saturday Night,for_you / days_playlist / playlist_detail,2019-04-15 11:58:09.079000+00:00,Alternative
Bon Iver,Holocene,for_you / days_playlist / playlist_detail,2019-04-15 12:02:02.049000+00:00,Alternative
Close Talker,Half Past Nine,for_you / days_playlist / playlist_detail,2019-04-15 12:07:40.347000+00:00,Alternative
Cuco,Lo Que Siento,for_you / days_playlist / playlist_detail,2019-04-15 12:11:19.225000+00:00,Pop
"The Velvet Underground, Nico",Sunday Morning,for_you / days_playlist / playlist_detail,2019-04-15 12:16:31.164000+00:00,Rock
White Poppy,By My Side,for_you / days_playlist / playlist_detail,2019-04-15 12:19:26.963000+00:00,Alternative
Beach House,Lose Your Smile,for_you / days_playlist / playlist_detail,2019-04-15 12:24:20.886000+00:00,Alternative
HOMESHAKE,All Night Long,for_you / days_playlist / playlist_detail,2019-04-15 12:28:30.198000+00:00,Indie Rock
Sparklehorse,Apple Bed,for_you / days_playlist / playlist_detail,2019-04-15 12:32:08.138000+00:00,Rock
Black Mountain,Line Them All Up,for_you / days_playlist / playlist_detail,2019-04-15 12:37:04.053000+00:00,Alternative
Beck,End of the Day,for_you / days_playlist / playlist_detail,2019-04-15 12:40:59.105000+00:00,Alternative
Blossoms,For Evelyn,for_you / days_playlist / playlist_detail,2019-04-15 12:46:01.127000+00:00,Alternative
Steve Gunn,Atmosphere,for_you / days_playlist / playlist_detail,2019-04-15 12:49:07.915000+00:00,Alternative
Sufjan Stevens,"Concerning the UFO Sighting Near Highland, Illinois",for_you / days_playlist / playlist_detail,2019-04-15 12:54:16.368000+00:00,Alternative
Leonard Cohen,Crazy to Love You,for_you / days_playlist / playlist_detail,2019-04-15 12:56:25.378000+00:00,Singer/Songwriter
Hales Corner,Garden View,for_you / days_playlist / playlist_detail,2019-04-15 12:59:31.237000+00:00,Alternative
Leif Vollebekk,Off the Main Drag,for_you / days_playlist / playlist_detail,2019-04-15 13:01:57.612000+00:00,Alternative
